"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-DogfoodNameComparatorJaccard-record1Value","0-DogfoodNameComparatorJaccard-record2Value","0-DogfoodNameComparatorJaccard-record1PreprocessedValue","0-DogfoodNameComparatorJaccard-record2PreprocessedValue","0-DogfoodNameComparatorJaccard-similarity","0-DogfoodNameComparatorJaccard-postproccesedSimilarity","1-DogfoodComparatorMongeElkan-record1Value","1-DogfoodComparatorMongeElkan-record2Value","1-DogfoodComparatorMongeElkan-record1PreprocessedValue","1-DogfoodComparatorMongeElkan-record2PreprocessedValue","1-DogfoodComparatorMongeElkan-similarity","1-DogfoodComparatorMongeElkan-postproccesedSimilarity","2-DogfoodComparatorMongeElkanTfIdf-record1Value","2-DogfoodComparatorMongeElkanTfIdf-record2Value","2-DogfoodComparatorMongeElkanTfIdf-record1PreprocessedValue","2-DogfoodComparatorMongeElkanTfIdf-record2PreprocessedValue","2-DogfoodComparatorMongeElkanTfIdf-similarity","2-DogfoodComparatorMongeElkanTfIdf-postproccesedSimilarity"
"WekaMatchingRule","dog_087","petnutritioncenter_066","0.75",,"Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","0.2222222222222222","0.2222222222222222","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","0.29130434782608694","0.29130434782608694","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Blue Buffalo Life Protect Chicken Dog Food 6lb","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","0.5768882040742382","0.5768882040742382"
"WekaMatchingRule","hardwarestore_015","healthypetcenters_307","0.75",,"Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food 15/30","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food 15/30","0.0","0.0","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food 15/30","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food 15/30","0.06938775510204082","0.06938775510204082","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food 15/30","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food 15/30","0.42022491773035237","0.42022491773035237"
"WekaMatchingRule","petnutritioncenter_215","roguevalleypet_163","0.7303370786516854",,"Royal Canin Shih Tzu Adult Dry Dog Food","Royal Canin Shih Tzu Adult Dry Dog Food","Royal Canin Shih Tzu Adult Dry Dog Food","Royal Canin Shih Tzu Adult Dry Dog Food","1.0","1.0","Royal Canin Shih Tzu Adult Dry Dog Food","Royal Canin Shih Tzu Adult Dry Dog Food","Royal Canin Shih Tzu Adult Dry Dog Food","Royal Canin Shih Tzu Adult Dry Dog Food","1.0","1.0","Royal Canin Shih Tzu Adult Dry Dog Food","Royal Canin Shih Tzu Adult Dry Dog Food","Royal Canin Shih Tzu Adult Dry Dog Food","Royal Canin Shih Tzu Adult Dry Dog Food","0.9999999999999999","0.9999999999999999"
"WekaMatchingRule","petnutritioncenter_066","horseandhound_041","0.75",,"Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Potato and Duck Puppy Formula Dry Dog Food","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Potato and Duck Puppy Formula Dry Dog Food","0.06896551724137931","0.06896551724137931","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Potato and Duck Puppy Formula Dry Dog Food","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Potato and Duck Puppy Formula Dry Dog Food","0.16578947368421051","0.16578947368421051","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Potato and Duck Puppy Formula Dry Dog Food","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Potato and Duck Puppy Formula Dry Dog Food","0.6088316461956513","0.6088316461956513"
"WekaMatchingRule","hardwarestore_015","healthypetcenters_306","0.75",,"Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Dry Dog Food","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Dry Dog Food","0.0","0.0","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Dry Dog Food","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Dry Dog Food","0.07906976744186046","0.07906976744186046","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Dry Dog Food","Hill's® Science Diet® Adult Tender Chicken Dinner","Taste Of The Wild High Prairie Dry Dog Food","0.4772970773009195","0.4772970773009195"
"WekaMatchingRule","petnutritioncenter_066","horseandhound_040","0.75",,"Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Adult Sweet Potato and Chicken Small Breed Bites Dry Dog Food","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Adult Sweet Potato and Chicken Small Breed Bites Dry Dog Food","0.13333333333333333","0.13333333333333333","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Adult Sweet Potato and Chicken Small Breed Bites Dry Dog Food","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Adult Sweet Potato and Chicken Small Breed Bites Dry Dog Food","0.2631578947368421","0.2631578947368421","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Adult Sweet Potato and Chicken Small Breed Bites Dry Dog Food","Blue Buffalo Divine Delights Small Breed Filet Mignon in Gravy Dog  Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Grain Free Adult Sweet Potato and Chicken Small Breed Bites Dry Dog Food","0.5834393414927256","0.5834393414927256"
"WekaMatchingRule","healthypetcenters_306","petnutritioncenter_225","0.7303370786516854",,"Taste Of The Wild High Prairie Dry Dog Food","Taste Of The Wild High Prairie Dry Dog Food","Taste Of The Wild High Prairie Dry Dog Food","Taste Of The Wild High Prairie Dry Dog Food","1.0","1.0","Taste Of The Wild High Prairie Dry Dog Food","Taste Of The Wild High Prairie Dry Dog Food","Taste Of The Wild High Prairie Dry Dog Food","Taste Of The Wild High Prairie Dry Dog Food","1.0","1.0","Taste Of The Wild High Prairie Dry Dog Food","Taste Of The Wild High Prairie Dry Dog Food","Taste Of The Wild High Prairie Dry Dog Food","Taste Of The Wild High Prairie Dry Dog Food","1.0000000000000002","1.0000000000000002"
"WekaMatchingRule","petco_008","concordpet_030","0.9534883720930233",,"Blue Buffalo Blue Wilderness Rocky Mountain Recipe Adult Red Meat Dry Dog Food 22 lbs.","Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Adult Healthy Weight Red Meat Dry Dog Food - 22-lb","Blue Buffalo Blue Wilderness Rocky Mountain Recipe Adult Red Meat Dry Dog Food 22 lbs.","Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Adult Healthy Weight Red Meat Dry Dog Food - 22-lb","0.7647058823529411","0.7647058823529411","Blue Buffalo Blue Wilderness Rocky Mountain Recipe Adult Red Meat Dry Dog Food 22 lbs.","Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Adult Healthy Weight Red Meat Dry Dog Food - 22-lb","Blue Buffalo Blue Wilderness Rocky Mountain Recipe Adult Red Meat Dry Dog Food 22 lbs.","Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Adult Healthy Weight Red Meat Dry Dog Food - 22-lb","0.6674418604651163","0.6674418604651163","Blue Buffalo Blue Wilderness Rocky Mountain Recipe Adult Red Meat Dry Dog Food 22 lbs.","Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Adult Healthy Weight Red Meat Dry Dog Food - 22-lb","Blue Buffalo Blue Wilderness Rocky Mountain Recipe Adult Red Meat Dry Dog Food 22 lbs.","Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Adult Healthy Weight Red Meat Dry Dog Food - 22-lb","0.9354143466934851","0.9354143466934851"
"WekaMatchingRule","petnutritioncenter_068","horseandhound_042","0.75",,"Blue Buffalo Divine Delights Small Breed Grilled Chicken Pate Dog Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","Blue Buffalo Divine Delights Small Breed Grilled Chicken Pate Dog Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","0.07407407407407407","0.07407407407407407","Blue Buffalo Divine Delights Small Breed Grilled Chicken Pate Dog Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","Blue Buffalo Divine Delights Small Breed Grilled Chicken Pate Dog Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","0.12162162162162163","0.12162162162162163","Blue Buffalo Divine Delights Small Breed Grilled Chicken Pate Dog Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","Blue Buffalo Divine Delights Small Breed Grilled Chicken Pate Dog Food Cup","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","0.6070214164261424","0.6070214164261424"
"WekaMatchingRule","bitiba.co.uk_103","miscota_173","0.0",,"Royal Canin Jack Russell Terrier Adult","Royal Canin Skin Care Junior Small Dog SKJ29","Royal Canin Jack Russell Terrier Adult","Royal Canin Skin Care Junior Small Dog SKJ29","0.15384615384615385","0.15384615384615385","Royal Canin Jack Russell Terrier Adult","Royal Canin Skin Care Junior Small Dog SKJ29","Royal Canin Jack Russell Terrier Adult","Royal Canin Skin Care Junior Small Dog SKJ29","0.33157894736842103","0.33157894736842103","Royal Canin Jack Russell Terrier Adult","Royal Canin Skin Care Junior Small Dog SKJ29","Royal Canin Jack Russell Terrier Adult","Royal Canin Skin Care Junior Small Dog SKJ29","0.5307227776030219","0.5307227776030219"
"WekaMatchingRule","bitiba.co.uk_102","miscota_172","0.7272727272727273",,"Royal Canin Jack Russell Junior","Royal Canin Skin Care Adult Small Dog","Royal Canin Jack Russell Junior","Royal Canin Skin Care Adult Small Dog","0.2","0.2","Royal Canin Jack Russell Junior","Royal Canin Skin Care Adult Small Dog","Royal Canin Jack Russell Junior","Royal Canin Skin Care Adult Small Dog","0.3870967741935484","0.3870967741935484","Royal Canin Jack Russell Junior","Royal Canin Skin Care Adult Small Dog","Royal Canin Jack Russell Junior","Royal Canin Skin Care Adult Small Dog","0.5493502655735357","0.5493502655735357"
"WekaMatchingRule","bitiba.co.uk_104","miscota_174","0.7272727272727273",,"Royal Canin Labrador Retriever Adult Sterilised","Royal Canin Skin Care SK23 Canine","Royal Canin Labrador Retriever Adult Sterilised","Royal Canin Skin Care SK23 Canine","0.18181818181818182","0.18181818181818182","Royal Canin Labrador Retriever Adult Sterilised","Royal Canin Skin Care SK23 Canine","Royal Canin Labrador Retriever Adult Sterilised","Royal Canin Skin Care SK23 Canine","0.36363636363636365","0.36363636363636365","Royal Canin Labrador Retriever Adult Sterilised","Royal Canin Skin Care SK23 Canine","Royal Canin Labrador Retriever Adult Sterilised","Royal Canin Skin Care SK23 Canine","0.4629100498862757","0.4629100498862757"
"WekaMatchingRule","roguevalleypet_084","petnutritioncenter_017","0.75",,"Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","Blue Buffalo BLUE Basics Grain Free Adult Salmon and Potato Recipe Dry Dog Food","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","Blue Buffalo BLUE Basics Grain Free Adult Salmon and Potato Recipe Dry Dog Food","0.15384615384615385","0.15384615384615385","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","Blue Buffalo BLUE Basics Grain Free Adult Salmon and Potato Recipe Dry Dog Food","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","Blue Buffalo BLUE Basics Grain Free Adult Salmon and Potato Recipe Dry Dog Food","0.21265822784810126","0.21265822784810126","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","Blue Buffalo BLUE Basics Grain Free Adult Salmon and Potato Recipe Dry Dog Food","Natural Balance L.I.D. Limited Ingredient Diets Lamb and Brown Rice Puppy Formula Dry Dog Food","Blue Buffalo BLUE Basics Grain Free Adult Salmon and Potato Recipe Dry Dog Food","0.640160275619824","0.640160275619824"
"WekaMatchingRule","healthypetcenters_093","petnutritioncenter_165","0.75",,"Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Turkey and Chicken Grill Canned Dog Food","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Turkey and Chicken Grill Canned Dog Food","0.2","0.2","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Turkey and Chicken Grill Canned Dog Food","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Turkey and Chicken Grill Canned Dog Food","0.24814814814814815","0.24814814814814815","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Turkey and Chicken Grill Canned Dog Food","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Turkey and Chicken Grill Canned Dog Food","0.5612530623524472","0.5612530623524472"
"WekaMatchingRule","healthypetcenters_093","petnutritioncenter_164","0.75",,"Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Trail Tubs Grain Free Turkey Stew Dog Food Tray","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Trail Tubs Grain Free Turkey Stew Dog Food Tray","0.17647058823529413","0.17647058823529413","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Trail Tubs Grain Free Turkey Stew Dog Food Tray","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Trail Tubs Grain Free Turkey Stew Dog Food Tray","0.24814814814814815","0.24814814814814815","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Trail Tubs Grain Free Turkey Stew Dog Food Tray","Blue Buffalo Kitchen Cravings Beef Meatball Dog Treats","Blue Buffalo Wilderness Trail Tubs Grain Free Turkey Stew Dog Food Tray","0.5375269157774195","0.5375269157774195"
